Academic Year,Department Name,Main Course No,Main course Name,Detail Course No,Detail Course Name,Total Students
2017/2018-Semester 1,Business Studies,BAAC3206,Contemporary Issues In Accounting,BAAC3102,Banking And Insurance Accounting,1
2017/2018-Semester 1,Business Studies,BAFI3301,Project Appraisal,BAAC3102,Banking And Insurance Accounting,2
2017/2018-Semester 1,Business Studies,BAHR3102,Total Qualiity Management,BAAC3102,Banking And Insurance Accounting,32
2017/2018-Semester 1,Business Studies,BAMA3113,Research Methodology,BAAC3102,Banking And Insurance Accounting,32
2017/2018-Semester 1,Business Studies,BAMG4201,Production And Operations Management,BAAC3102,Banking And Insurance Accounting,40
2017/2018-Semester 1,Business Studies,PHIL3108,Business Ethics,BAAC3102,Banking And Insurance Accounting,1
2017/2018-Semester 1,Business Studies,BAAC2203,Auditing &Control -1,BAAC3203,Government Accounting,1
2017/2018-Semester 1,Business Studies,BAAC3100,Intermediate Accounting - 2,BAAC3203,Government Accounting,10
2017/2018-Semester 1,Business Studies,BAAC3102,Banking And Insurance Accounting,BAAC3203,Government Accounting,11
2017/2018-Semester 1,Business Studies,BAAC3205,Corporate Accounting-2,BAAC3203,Government Accounting,12
2017/2018-Semester 1,Business Studies,BAAC3206,Contemporary Issues In Accounting,BAAC3203,Government Accounting,5
2017/2018-Semester 1,Business Studies,BAAC4100,Management Accounting -2,BAAC3203,Government Accounting,2
2017/2018-Semester 1,Business Studies,BAFI3301,Project Appraisal,BAAC3203,Government Accounting,7
2017/2018-Semester 1,Business Studies,BAHR3102,Total Qualiity Management,BAAC3203,Government Accounting,7
2017/2018-Semester 1,Business Studies,BALW4115,Business Law,BAAC3203,Government Accounting,1
2017/2018-Semester 1,Business Studies,BAMA3113,Research Methodology,BAAC3203,Government Accounting,3
2017/2018-Semester 1,Business Studies,BAMG4201,Production And Operations Management,BAAC3203,Government Accounting,11
2017/2018-Semester 1,Business Studies,BAAC2203,Auditing &Control -1,BAAC3205,Corporate Accounting-2,1
2017/2018-Semester 1,Business Studies,BAAC3100,Intermediate Accounting - 2,BAAC3205,Corporate Accounting-2,6
2017/2018-Semester 1,Business Studies,BAAC3102,Banking And Insurance Accounting,BAAC3205,Corporate Accounting-2,6
2017/2018-Semester 1,Business Studies,BAAC3203,Government Accounting,BAAC3205,Corporate Accounting-2,12
2017/2018-Semester 1,Business Studies,BAAC3206,Contemporary Issues In Accounting,BAAC3205,Corporate Accounting-2,4
2017/2018-Semester 1,Business Studies,BAFI3301,Project Appraisal,BAAC3205,Corporate Accounting-2,4
2017/2018-Semester 1,Business Studies,BAHR3102,Total Qualiity Management,BAAC3205,Corporate Accounting-2,2
2017/2018-Semester 1,Business Studies,BAMA3113,Research Methodology,BAAC3205,Corporate Accounting-2,2
2017/2018-Semester 1,Business Studies,BAMG4201,Production And Operations Management,BAAC3205,Corporate Accounting-2,5
2017/2018-Semester 1,Business Studies,BAAC3102,Banking And Insurance Accounting,BAAC3206,Contemporary Issues In Accounting,1
2017/2018-Semester 1,Business Studies,BAAC3203,Government Accounting,BAAC3206,Contemporary Issues In Accounting,5
2017/2018-Semester 1,Business Studies,BAAC3205,Corporate Accounting-2,BAAC3206,Contemporary Issues In Accounting,4
2017/2018-Semester 1,Business Studies,BAFI3301,Project Appraisal,BAAC3206,Contemporary Issues In Accounting,6
2017/2018-Semester 1,Business Studies,BAHR3102,Total Qualiity Management,BAAC3206,Contemporary Issues In Accounting,1
2017/2018-Semester 1,Business Studies,BAMA3113,Research Methodology,BAAC3206,Contemporary Issues In Accounting,1
2017/2018-Semester 1,Business Studies,BAMG4201,Production And Operations Management,BAAC3206,Contemporary Issues In Accounting,3
2017/2018-Semester 1,Business Studies,BAAC3203,Government Accounting,BAAC4100,Management Accounting -2,2
2017/2018-Semester 1,Business Studies,BAAC4203,Auditing & Control -2,BAAC4100,Management Accounting -2,22
2017/2018-Semester 1,Business Studies,BAAC4204,Accounting Theory,BAAC4100,Management Accounting -2,20
